Hindi,English
mẽ,In
hai,Is
ha͠i,Are
nahī̃,No
lie,For
gayā,Went
tathā,And
apne,Our
kuch,Some?
sāth,with
hotā,Would
thā,Was
diyā,Gave
hue,happened
koī,Any
rūp,Form
se,From
ma͠i,I
rahā,Stayed
huā,Happened
bāt,talk
kahā,Said
samay,Time
kyā,What
apnī,Own
hotī,would have
prakār,Type
bahut,Very
tarah,Kind
bād,after
phir,Then
rahe,are
dvārā,By
adhik,More
rahī,doing
hone,to be
evã,And
huī,Hui
the,Were
unke,Their
thī,Was
vāle,ones
cāhie,Needed
din,Day
lekin,But
kām,Work
hū̃,am
hote,would have been
iske,Its
unhẽ,Them
gaye,gone
kabhī,Sometimes
ādi,Etcetera
log,People
bār,Times
yahā̃,Here
donõ,Both
unhõne,They
kārya,Work
pās,Near
vahā̃,There
bhārat,India
liyā,took
prāpt,get
unkī,their
logõ,people
gayī,went
lagā,Put
anya,Other
hogā,will be
isī,This 
deś,Country
yadi,If
sabhī,All
nām,Name
varṣ,Year
aisā,As such
vikās,Development
apnā,own
aise,This way
dūsre,Others
hāth,Hand
bhāṣā,Language
mere,My
ma͠ine,I
tum,You
bīc,between
vālī,the one
baṛe,elder
prati,Per
vyakti,Person
unkā,their
liye,for
islie,so
tīn,Three
iskā,Its
aisī,Such
viśeṣ,Specific
baṛī,Big
athvā,Or